DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
8/29/2014,1.554,QUEENS,1.431,0.2091424,0.4419422,"(40.710252, -73.799858)",HIGHLAND AVENUE,164 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,1016140,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
8/31/2014,0.102,MANHATTAN,0.127,0.2795806,0.2952077,"(40.780691, -73.946592)",1 AVENUE,EAST 92 STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Physical Disability,Other Vehicular,Other Vehicular,,1016302,PASSENGER VEHICLE,TAXI,PASSENGER VEHICLE,PASSENGER VEHICLE,
8/31/2014,0.505,BRONX,0.46,0.3505767,0.4107465,"(40.851687, -73.831053)",WILKINSON AVENUE,HOBART AVENUE,,1,0,0,0,0,0,1,0,Alcohol Involvement,Traffic Control Disregarded,Other Electronic Device,,,1016362,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
8/31/2014,0.5,QUEENS,1.384,0.2046239,0.3473122,"(40.705734, -73.894488)",64 STREET,68 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,1016592,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
9/1/2014,1.335,MANHATTAN,0.074,0.2752109,0.2817872,"(40.776321, -73.960013)",EAST 80 STREET,PARK AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,1016757,TAXI,TAXI,PASSENGER VEHICLE,,
9/2/2014,1.135,MANHATTAN,0.024,0.3018608,0.2779384,"(40.802971, -73.963862)",WEST 110 STREET,AMSTERDAM AVENUE,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,1017154,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),SMALL COM VEH(4 TIRES),,
9/2/2014,1.135,MANHATTAN,0.024,0.2885643,0.2719508,"(40.789674, -73.969849)",WEST 91 STREET,COLUMBUS AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Other Vehicular,Driver Inattention/Distraction,,,1017155,PASSENGER VEHICLE,BUS,PASSENGER VEHICLE,,
9/1/2014,2.23,BROOKLYN,1.211,0.1530688,0.3310885,"(40.654179, -73.910711)",LINDEN BOULEVARD,AMBOY STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Driver Inattention/Distraction,Driver Inexperience,,,1017406,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
9/1/2014,0.12,QUEENS,1.236,0.2032014,0.3285083,"(40.704311, -73.913292)",GREENE AVENUE,CYPRESS AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,1017552,UNKNOWN,PASSENGER VEHICLE,PASSENGER VEHICLE,,
9/2/2014,1.855,QUEENS,1.384,0.2018656,0.3830531,"(40.702976, -73.858747)",MYRTLE AVENUE,88 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,1018110,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
