Pers K,Pers i,Mot i,Mot K,Zip,Long,Lat,Ped i,Time,Cyc i
0,0,0,0,0.015,0.2606924,0.2433883,0,1.615,0
0,0,0,0,1.361,0.5050391,0.254639,0,0.3,0
0,1,1,0,1.363,0.4852739,0.2359796,0,1.4,0
0,5,5,0,0.464,0.4153427,0.3554939,0,1.83,0
0,0,0,0,1.104,0.3295898,0.2794964,0,1.63,0
0,0,0,0,0.035,0.2600068,0.2569118,0,1.43,0
0,0,0,0,0.074,0.2850034,0.2738566,0,1.3,0
0,0,0,0,0.021,0.2774858,0.2594905,0,1.32,0
0,1,1,0,0.039,0.312911,0.3635539,0,0.329,0
0,0,0,0,0.474,0.4079408,0.3749126,0,1.115,0
0,0,0,0,0.021,0.2733194,0.2578394,0,1.745,0
0,0,0,0,1.212,0.3003379,0.1760898,0,0.858,0
0,0,0,0,1.212,0.3112703,0.1739291,0,0.725,0
0,0,0,0,0.45,0.3168568,0.3264018,0,1.8,0
0,0,0,0,0.021,0.2733194,0.2578394,0,1.745,0
0,3,3,0,1.232,0.3191686,0.1672625,0,0.7,0
0,1,1,0,1.212,0.3003379,0.1760898,0,0.82,0
0,3,3,0,0.127,0.2892246,0.2796436,0,1.525,0
0,0,0,0,1.357,0.4557521,0.2514281,0,0.245,0
0,0,0,0,0.027,0.2900566,0.276764,0,1.42,0
0,2,2,0,0.451,0.3188246,0.3375742,0,1.015,0
0,1,1,0,0.456,0.334412,0.3456734,0,0.63,0
0,0,0,0,0.017,0.2453916,0.2572288,0,0.005,0
0,0,0,0,0.032,0.3051388,0.3493381,0,1.034,0
0,0,0,0,1.21,0.2882189,0.2096062,0,0.04,0
0,0,0,0,0.035,0.2576815,0.2537309,0,1.521,0
0,0,0,0,1.237,0.2780903,0.1764174,0,1.656,0
0,2,2,0,1.41,0.4969522,0.1920298,0,2.01,0
0,0,0,0,0.064,0.2812008,0.2603758,0,2.055,0
0,7,2,0,0,0.2540314,0.2486783,5,2.154,0
0,0,0,0,0.127,0.2892246,0.2796436,0,1.72,0
0,0,0,0,1.354,0.4064208,0.253167,0,1.543,0
0,0,0,0,1.354,0.4244899,0.2506915,0,1.1,0
0,2,2,0,0.452,0.3205402,0.3489115,0,1.93,0
0,0,0,0,1.433,0.4679718,0.1585409,0,1.417,0
0,0,0,0,1.355,0.398588,0.2805787,0,1.215,0
0,0,0,0,0.127,0.2892246,0.2796436,0,2.05,0
0,0,0,0,0.015,0.2604585,0.2459684,0,1.04,0
0,0,0,0,0.127,0.2965886,0.2814601,0,0.14,0
